Code,Year,MilEx(% of GDP),Unempl(Male),GDP % growth,GDPpCap,Unempl,Inflation,GDP,Conflict,Conf_Code,Stage,Country,Description
TUR,1974,,,5.594474568,2401.526287,,28.99234715,93011994443,Turkish Invasion of Cyprus,TCYP,During,Turkey,"The coup on Cyprus in July 1974 which overthrew Archbishop Makarios immediately sparked tensions on the island.  Turkish-Cypriots feared the new Greek-backed leader, Nicos Sampson, would seek unification with Greece against their wishes. When talks between the two sides broke down, Turkey invaded northern Cyprus.  The island was split into two and the continued failure to reach a settlement in the following months polarised the island's population: Greek-Cypriots fled to the south and the Turkish community to the north.  Cyprus is still a divided island.[6]"
TUR,1975-1977,,,7.013987364,2665.509414,,20.33697358,1.08E+11,Turkish Invasion of Cyprus,TCYP,Post,Turkey,"The coup on Cyprus in July 1974 which overthrew Archbishop Makarios immediately sparked tensions on the island.  Turkish-Cypriots feared the new Greek-backed leader, Nicos Sampson, would seek unification with Greece against their wishes. When talks between the two sides broke down, Turkey invaded northern Cyprus.  The island was split into two and the continued failure to reach a settlement in the following months polarised the island's population: Greek-Cypriots fled to the south and the Turkish community to the north.  Cyprus is still a divided island.[6]"
GRC,1971-1973,,,8.697902265,7832.547776,,9.6440184,69596796206,Turkish Invasion of Cyprus,TCYP,Pre,Greece,"The coup on Cyprus in July 1974 which overthrew Archbishop Makarios immediately sparked tensions on the island.  Turkish-Cypriots feared the new Greek-backed leader, Nicos Sampson, would seek unification with Greece against their wishes. When talks between the two sides broke down, Turkey invaded northern Cyprus.  The island was split into two and the continued failure to reach a settlement in the following months polarised the island's population: Greek-Cypriots fled to the south and the Turkish community to the north.  Cyprus is still a divided island.[6]"
GRC,1974,,,-6.438240579,7883.455788,,22.78044376,70651704210,Turkish Invasion of Cyprus,TCYP,During,Greece,"The coup on Cyprus in July 1974 which overthrew Archbishop Makarios immediately sparked tensions on the island.  Turkish-Cypriots feared the new Greek-backed leader, Nicos Sampson, would seek unification with Greece against their wishes. When talks between the two sides broke down, Turkey invaded northern Cyprus.  The island was split into two and the continued failure to reach a settlement in the following months polarised the island's population: Greek-Cypriots fled to the south and the Turkish community to the north.  Cyprus is still a divided island.[6]"
GRC,1975-1977,,,5.386569452,8642.207528,,14.43629904,79369962138,Turkish Invasion of Cyprus,TCYP,Post,Greece,"The coup on Cyprus in July 1974 which overthrew Archbishop Makarios immediately sparked tensions on the island.  Turkish-Cypriots feared the new Greek-backed leader, Nicos Sampson, would seek unification with Greece against their wishes. When talks between the two sides broke down, Turkey invaded northern Cyprus.  The island was split into two and the continued failure to reach a settlement in the following months polarised the island's population: Greek-Cypriots fled to the south and the Turkish community to the north.  Cyprus is still a divided island.[6]"
ISR,1964-1966,,,5.650504251,7475.013521,,4.259723302,19109261355,Six-Day War,SDW,Pre,Israel,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
ISR,1967,,,2.995020098,7371.037776,,-1.688177438,20233498694,Six-Day War,SDW,During,Israel,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
ISR,1968-1970,,,12.37166334,9104.229246,,3.26507084,26297507111,Six-Day War,SDW,Post,Israel,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
EGY,1964-1966,,,6.141345508,529.4850173,,4.646197516,16831667332,Six-Day War,SDW,Pre,Egypt,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
EGY,1964-1966,,,0.625934957,525.1453069,,1.350414383,17548216715,Six-Day War,SDW,During,Egypt,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
EGY,1968-1970,,,5.044160801,546.9782413,,1.521278268,19203762369,Six-Day War,SDW,Post,Egypt,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
SYR,1964-1966,,,1.3038907,558.8037317,,2.251429394,3002705649,Six-Day War,SDW,Pre,Syria,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
SYR,1967,,,8.257682701,539.6908921,,0.937731013,3104197851,Six-Day War,SDW,During,Syria,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
SYR,1968-1970,,,6.229725417,580.0645193,,1.384174266,3574294452,Six-Day War,SDW,Post,Syria,"With war appearing inevitable, Israel decided to strike first. On the morning of June 5—while most Egyptian pilots were eating breakfast and their commanders were stuck in rush-hour traffic—the Israeli Air Force destroyed more than 300 of Egypt's 340 combat planes, most before they had a chance to leave the ground. Israeli troops then swept into Gaza and Sinai, as Jordan, with backup from Iraq, began shelling the Israeli sector of Jerusalem Syria then attacked from the north.  By June 7, Israel had captured the West Bank and East Jerusalem, including the Old City, home to many sacred sites in Judaism, Christianity, and Islam. By the fourth day, June 8, with the Egyptians in retreat, Israeli forces had reached the Suez Canal. Two days later, after Israel captured the Golan Heights, Israel and Syria declared a cease-fire.  In six days—actually, a little less—Israel more than tripled the amount of land under its control, rewriting the map of the Middle East.[7]"
IND,1981-1983,,,5.876662823,240.4501188,,9.746156374,1.74E+11,Siachen Conflict,SC,Pre,India,"On April 13, 1984, the Indian Army made a pre-emptive move into the Siachen glacier and the peaks and passes around it. Within weeks, Pakistani forces swept in to oppose them, but the Indians have been able to hold on to the tactical advantage of the high ground.  Fifteen years of refrigerated combat have brought only 15 years of hardened stalemate.  A cease-fire went into effect in 2003.[8]"
IND,1984-1987,,,4.454239221,266.5196564,,7.808578012,2.12E+11,Siachen Conflict,SC,During,India,"On April 13, 1984, the Indian Army made a pre-emptive move into the Siachen glacier and the peaks and passes around it. Within weeks, Pakistani forces swept in to oppose them, but the Indians have been able to hold on to the tactical advantage of the high ground.  Fifteen years of refrigerated combat have brought only 15 years of hardened stalemate.  A cease-fire went into effect in 2003.[8]"
IND,1988-1990,3.348231408,,7.036193604,305.9324345,,9.112542696,2.62E+11,Siachen Conflict,SC,During,India,"On April 13, 1984, the Indian Army made a pre-emptive move into the Siachen glacier and the peaks and passes around it. Within weeks, Pakistani forces swept in to oppose them, but the Indians have been able to hold on to the tactical advantage of the high ground.  Fifteen years of refrigerated combat have brought only 15 years of hardened stalemate.  A cease-fire went into effect in 2003.[8]"
PAK,1981-1983,,3.333333333,7.078876237,364.8525236,3.633333365,8.186422983,31480178558,Siachen Conflict,SC,Pre,Pakistan,"On April 13, 1984, the Indian Army made a pre-emptive move into the Siachen glacier and the peaks and passes around it. Within weeks, Pakistani forces swept in to oppose them, but the Indians have been able to hold on to the tactical advantage of the high ground.  Fifteen years of refrigerated combat have brought only 15 years of hardened stalemate.  A cease-fire went into effect in 2003.[8]"
PAK,1984-1987,,3.724999964,6.152829248,400.4152924,3.524999917,5.499674369,38936191300,Siachen Conflict,SC,During,Pakistan,"On April 13, 1984, the Indian Army made a pre-emptive move into the Siachen glacier and the peaks and passes around it. Within weeks, Pakistani forces swept in to oppose them, but the Indians have been able to hold on to the tactical advantage of the high ground.  Fifteen years of refrigerated combat have brought only 15 years of hardened stalemate.  A cease-fire went into effect in 2003.[8]"
PAK,1988-1990,6.82506409,2.850000024,5.681211497,442.4148302,2.649999977,8.218204748,48061421967,Siachen Conflict,SC,Post,Pakistan,"On April 13, 1984, the Indian Army made a pre-emptive move into the Siachen glacier and the peaks and passes around it. Within weeks, Pakistani forces swept in to oppose them, but the Indians have been able to hold on to the tactical advantage of the high ground.  Fifteen years of refrigerated combat have brought only 15 years of hardened stalemate.  A cease-fire went into effect in 2003.[8]"
EGY,1974-1976,,,8.68397308,613.0862174,,11.36295943,24642588177,Libyan-Egyptian War,LEW,Pre,Egypt,"On July 21, 1977 there began a short border war between Egypt and Libya.  These skirmishes escalated into air strikes and on July 24, 1977, despite the success of Egyption operations, President Sadat announced a cease fire.  There has never been a formal conclusion to the hostilities, but both sides have informally adhered to the cease fire.[9]"
EGY,1977,,,12.83695867,743.659362,,9.92626996,31205234103,Libyan-Egyptian War,LEW,During,Egypt,"On July 21, 1977 there began a short border war between Egypt and Libya.  These skirmishes escalated into air strikes and on July 24, 1977, despite the success of Egyption operations, President Sadat announced a cease fire.  There has never been a formal conclusion to the hostilities, but both sides have informally adhered to the cease fire.[9]"
EGY,1978-1980,,,7.276634106,807.5493193,5.199999809,17.10932393,35505770438,Libyan-Egyptian War,LEW,Post,Egypt,"On July 21, 1977 there began a short border war between Egypt and Libya.  These skirmishes escalated into air strikes and on July 24, 1977, despite the success of Egyption operations, President Sadat announced a cease fire.  There has never been a formal conclusion to the hostilities, but both sides have informally adhered to the cease fire.[9]"
IND,1986-1988,2.615650829,2.833333333,5.92791964,399.071004,2.766666572,7.353819025,3.99E+11,Kargil War,KW,Pre,India,"For the first time in nearly 30 years, in May 1999, India launched air strikes against Pakistani-backed forces that had infiltrated into the mountains in Indian-administered Kashmir, north of Kargil.Pakistan responded by putting its troops on high alert as the fighting built up towards a direct conflict between the two states.  Both sides claimed victory in the conflict, which ended when, under pressure from the United States, Prime Minister Nawaz Sharif called upon the infiltrating forces to withdraw.[10]"
IND,1999,2.971874917,,8.463070837,440.5693093,,2.873158566,4.57E+11,Kargil War,KW,During,India,"For the first time in nearly 30 years, in May 1999, India launched air strikes against Pakistani-backed forces that had infiltrated into the mountains in Indian-administered Kashmir, north of Kargil.Pakistan responded by putting its troops on high alert as the fighting built up towards a direct conflict between the two states.  Both sides claimed victory in the conflict, which ended when, under pressure from the United States, Prime Minister Nawaz Sharif called upon the infiltrating forces to withdraw.[10]"
IND,2000-2002,2.909204628,4.400000095,4.275604341,463.615475,4.300000191,3.516779592,4.97E+11,Kargil War,KW,Post,India,"For the first time in nearly 30 years, in May 1999, India launched air strikes against Pakistani-backed forces that had infiltrated into the mountains in Indian-administered Kashmir, north of Kargil.Pakistan responded by putting its troops on high alert as the fighting built up towards a direct conflict between the two states.  Both sides claimed victory in the conflict, which ended when, under pressure from the United States, Prime Minister Nawaz Sharif called upon the infiltrating forces to withdraw.[10]"
PAK,1996-1998,5.504302559,4,2.803737198,499.5909588,5.75,9.761053843,67068404385,Kargil War,KW,Pre,Pakistan,"For the first time in nearly 30 years, in May 1999, India launched air strikes against Pakistani-backed forces that had infiltrated into the mountains in Indian-administered Kashmir, north of Kargil.Pakistan responded by putting its troops on high alert as the fighting built up towards a direct conflict between the two states.  Both sides claimed victory in the conflict, which ended when, under pressure from the United States, Prime Minister Nawaz Sharif called upon the infiltrating forces to withdraw.[10]"
PAK,1999,5.002758324,,3.660132744,502.1246594,,5.862286179,70930666164,Kargil War,KW,During,Pakistan,"For the first time in nearly 30 years, in May 1999, India launched air strikes against Pakistani-backed forces that had infiltrated into the mountains in Indian-administered Kashmir, north of Kargil.Pakistan responded by putting its troops on high alert as the fighting built up towards a direct conflict between the two states.  Both sides claimed victory in the conflict, which ended when, under pressure from the United States, Prime Minister Nawaz Sharif called upon the infiltrating forces to withdraw.[10]"
PAK,2000-2002,4.095100745,5.849999905,3.155667339,513.4700678,7.5,11.74846622,75740376227,Kargil War,KW,Post,Pakistan,"For the first time in nearly 30 years, in May 1999, India launched air strikes against Pakistani-backed forces that had infiltrated into the mountains in Indian-administered Kashmir, north of Kargil.Pakistan responded by putting its troops on high alert as the fighting built up towards a direct conflict between the two states.  Both sides claimed victory in the conflict, which ended when, under pressure from the United States, Prime Minister Nawaz Sharif called upon the infiltrating forces to withdraw.[10]"
USA,2012-2013,,,,,,,,Iraq War,IW,Post,United States of America,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
USA,2003-2011,4.264344882,6.649999976,1.612166166,37499.95891,6.31250006,2.313849515,1.13E+13,Iraq War,IW,During,United States of America,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
USA,2000-2002,3.157387457,4.866666794,2.364871645,35208.68271,4.833333333,2.018235315,1.00E+13,Iraq War,IW,Pre,United States of America,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
GBR,2012-2013,,,,,,,,Iraq War,IW,Post,Great Britian,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
GBR,2003-2011,2.5,7.8,3.5,29288,6.5,2.7485,1.82E+12,Iraq War,IW,During,Great Britian,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
GBR,2000-2002,2,5.5,3.35,25687,5,1.75,1.52E+12,Iraq War,IW,Pre,Great Britian,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
AUS,2012-2013,,,,,,,,Iraq War,IW,Post,Australia,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
AUS,2003-2011,2,4.9852,3.789,25191,5.3425,5.6452,5.50E+11,Iraq War,IW,During,Australia,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
AUS,2000-2002,2,7,3.25,21824,6.5,4.25,4.24E+11,Iraq War,IW,Pre,Australia,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
IRQ,2012-2013,,,,,,,,Iraq War,IW,Post,Iraq,"On March 20, 2003, the United States initiated offensive military action against Iraq for the stated purpose of deposing Iraqi leader Saddam Hussein and preventing his use of suspected nuclear weapons (weapons of mass destruction.) British, Australian, Polish, and Danish forces participated in the invasion. U.S. led forces took control of Baghdad on April 9, 2003. An investigation following the invasion found that Iraq had had no active programs at the time of the invasion.  There was both support and opposition to the war.  The war continued with the United States coalition forces facing increased insurgency from Shiite militants, Sunni militants, and terrorists aligned with Al Queda.  The U.S. completed its withdrawal of military personnel in December 2011.[11]"
